type,ride_id,rideable_type,started_at,ended_at,lat,lng,other_lat,other_lng,member_casual,distance,distance_from_toll_line,toll_area,days_after_toll
start,8B1FAFEBBB9CFB4C,electric_bike,2025-01-25 20:05:45.023,2025-01-25 20:11:03.409,40.74848023448579,-73.98255586624146,40.74526,-73.99062,member,0.008683326748388167,0.01896418175081538,false,20
start,D40AFA1A69B045A2,electric_bike,2024-12-18 17:44:41.159,2024-12-18 17:57:54.115,40.763189,-73.978434,40.7973721,-73.97041192,member,0.03511179421698957,0.0038022715129793867,false,-18
start,38439F163318D42A,electric_bike,2025-01-17 18:52:51.067,2025-01-17 19:36:12.335,40.75461,-73.99177,40.69543,-73.9196,member,0.09333156647136978,0.016854195774139717,false,12
start,69B6F11361769F57,electric_bike,2024-12-14 14:37:12.218,2024-12-14 14:54:16.353,40.768254,-73.988639,40.73781509,-73.99994661,casual,0.03247136101089693,0.003056451101300873,false,-22
start,50025FA463D1DF64,electric_bike,2024-12-04 22:30:30.087,2024-12-04 22:44:12.173,40.763604677958625,-73.98917958140373,40.75118387463277,-73.97138714790344,member,0.021699010233689232,0.00755553094850924,false,-32
start,64D73887C6321AC1,electric_bike,2024-12-24 17:55:19.055,2024-12-24 18:01:57.005,40.75022392,-73.97121414,40.736502,-73.97809472,member,0.015350357312546824,0.01298848993971431,false,-12
start,6E35CAD90243162D,electric_bike,2025-01-09 09:39:19.779,2025-01-09 09:46:18.046,40.752762088742045,-73.99280458705107,40.768333,-73.992573,member,0.015572633366430742,0.018957976010000842,false,4
end,A3BC55631BCB171A,electric_bike,2025-01-27 14:35:43.09,2025-01-27 14:58:45.49,40.75892386377695,-73.96226227283478,40.7529728216068,-73.98734897375107,member,0.025782890950673883,0.0015127735319141612,false,22
end,8899003D286E6239,electric_bike,2025-01-20 22:50:59.972,2025-01-20 22:58:45.635,40.78275,-73.97137,40.770513,-73.988038,casual,0.020677678617298995,0.016970554951599444,true,15
start,824CC67A94A32C73,electric_bike,2024-12-05 11:33:08.321,2024-12-05 11:50:11.675,40.7817212,-73.94594,40.75255434,-73.97282625,member,0.03966832692869861,0.02598729536985583,true,-31
end,6FB60C7308946D51,classic_bike,2025-01-09 16:24:18.796,2025-01-09 16:33:36.65,40.749156,-73.9916,40.7606597,-73.98042047,member,0.016041103600158625,0.02182236709634592,false,4
end,1F925027CF2B6502,electric_bike,2024-12-17 11:02:41.064,2024-12-17 11:09:39.516,40.753773368360385,-73.99937599897385,40.74901271,-73.98848395,casual,0.011886992843982414,0.02055454467916928,false,-19
end,31B694FC200C9678,electric_bike,2024-12-30 07:08:35.231,2024-12-30 07:11:23.304,40.75516719072139,-74.00059908628464,40.76087502,-74.00277668,member,0.006109110365917764,0.019739026197957348,false,-6
start,2933EE9194A99E4D,classic_bike,2024-12-20 12:22:43.047,2024-12-20 12:34:00.882,40.75828065,-73.97069431,40.76500525,-73.95818491,member,0.014202300289740118,0.00535262585723873,false,-16
